Record ID,Store Name,Store Street Address,Additonal Address,City,State,Zip Code,Zip4,County,Store Type,Latitude,Longitude,Incentive Program,Grantee Name,x,y
1430282,Kangaroo Express,2152 NW 39th Ave,,Gainesville,FL,32605,2304,ALACHUA,Convenience Store,29.688902,-82.353889,,,-9167592.988325773,3463623.4488477567
1446395,Gator Spirit Food Store,113 S Main St,,Gainesville,FL,32601,6214,ALACHUA,Convenience Store,29.650465,-82.324844,,,-9164359.713715684,3458699.039645233
1454295,Hawthorne Rd Fresh Market,2080 SE Hawthorne Rd,,Gainesville,FL,32641,7409,ALACHUA,Specialty Store,29.647463,-82.29776,,,-9161344.736627037,3458314.513483952
1456829,Riddling Groves Produce Barn,25025 NE State Road 26,,Melrose,FL,32666,6111,ALACHUA,Specialty Store,29.708542,-82.057137,,,-9134558.706793888,3466140.3814774486
1460391,Super America 2,2300 E University Ave,,Gainesville,FL,32641,3929,ALACHUA,Convenience Store,29.652281,-82.294685,,,-9161002.429192849,3458931.656641174
1461131,Maa And Paa Grocery Store ,6410 SW 8th Ave,,Gainesville,FL,32607,1963,ALACHUA,Grocery Store,29.645634,-82.411385,,,-9173993.413768424,3458080.242506977
1470765,Come N Go,1150 NE 16th Ave,,Gainesville,FL,32601,4557,ALACHUA,Convenience Store,29.666586,-82.311287,,,-9162850.555378998,3460764.174640575
1475124,DOLLARTREE 8851,6244 NW 23rd St,,Gainesville,FL,32653,1597,ALACHUA,Other,29.711962,-82.356339,,,-9167865.721078217,3466578.7163963118
1476534,One Stop,6262 County Road 214,,Keystone Heights,FL,32656,9601,CLAY,Convenience Store,29.771914,-82.011024,,,-9129425.431114938,3474265.077969224
1479335,Daily Mart ,4234 SW 20th Ave,,Gainesville,FL,32607,4206,ALACHUA,Convenience Store,29.636177,-82.388275,,,-9171420.820336191,3456868.9923920487
1480974,Save A Lot 61225,2605 Nw 13th St,,Gainesville,FL,32609,2835,ALACHUA,Supermarket,29.676176,-82.337982,,,-9165822.229185725,3461992.831403307
1481963,Stop N Go,7435 SE US Highway 301,,Hawthorne,FL,32640,3919,ALACHUA,Convenience Store,29.585936,-82.084457,,,-9137599.95528236,3450436.0438879402
1485695,Little Farma Llc NAFMNP,131 Race St,,Hawthorne,FL,32640,5535,PUTNAM,Farmers and Markets,29.598127,-82.007675,,,-9129052.622140272,3451996.707064505
1486998,Super America 13th St Inc,5310 NW 13th St,,Gainesville,FL,32653,2207,ALACHUA,Convenience Store,29.703716,-82.34494,,,-9166596.790202664,3465521.867598892
1490604,7-Eleven Inc 40324J,4207 NW 13th St,,Gainesville,FL,32609,1806,ALACHUA,Convenience Store,29.692533,-82.338547,,,-9165885.124698024,3464088.7367418883
1496557,CIRCLE K 2709225,4565 NW 13th St,,Gainesville,FL,32609,1728,ALACHUA,Convenience Store,29.696281,-82.338867,,,-9165920.746935075,3464569.0350238713
1505895,Wawa 5323,4322 SW Archer Rd,,Gainesville,FL,32608,2229,ALACHUA,Convenience Store,29.616119,-82.389984,,,-9171611.065345956,3454300.3453013194
1508978,Fast Track Foods 206,1633 SW 75th St,,Gainesville,FL,32607,3427,ALACHUA,Convenience Store,29.638468,-82.421799,,,-9175152.694945544,3457162.412638715
1509552,Krishna Of Gainesville,6815 W Newberry Rd,,Gainesville,FL,32605,4314,ALACHUA,Convenience Store,29.65933,-82.414749,,,-9174367.892535452,3459834.624386872
1511688,Enson Market 5 5,3045 SW 34th St,,Gainesville,FL,32608,1742,ALACHUA,Grocery Store,29.625715,-82.370628,,,-9169456.365282161,3455529.1546410704
1512964,Publix Super Market 1784,3315 W University Ave,,Gainesville,FL,32607,2539,ALACHUA,Supermarket,29.651272,-82.371178,,,-9169517.5910021,3458802.4102260545
1526318,Euro Food Basket,5112 NW 34th Blvd,,Gainesville,FL,32605,1175,ALACHUA,Convenience Store,29.702488,-82.367393,,,-9169096.246729447,3465364.488371687
1544256,Lakeview Food Mart,1420 State Road 20,,Interlachen,FL,32148,2782,PUTNAM,Convenience Store,29.623955,-81.932114,,,-9120641.210096441,3455303.770259355
1553062,Fowl Flock Farm Llc,4170 NW 160th St,,Trenton,FL,32693,7820,LEVY,Farmers and Markets,29.561359,-82.842583,,,-9221994.155559503,3447290.327099758
1553483,Food Max,1304 E University Ave,,Gainesville,FL,32641,5713,ALACHUA,Convenience Store,29.652319,-82.308464,,,-9162536.300456489,3458936.524222265
1556332,Swarthy East Gnv,1702l NE 8th Ave,,Gainesville,FL,32641,4741,ALACHUA,Farmers and Markets,29.659267,-82.302757,,,-9161901.000122532,3459826.553888544
1558520,Jiffy 1625,1625 E Wade St,,Trenton,FL,32693,2777,GILCHRIST,Convenience Store,29.614937,-82.800957,,,-9217360.37043574,3454148.9931780123
1564512,Hawthorne Food Store,310 S County Road 21,,Hawthorne,FL,32640,5920,PUTNAM,Convenience Store,29.585373,-81.973228,,,-9125217.999640916,3450363.974505771
1573813,Welcome Food,3850 Newberry Rd,,Gainesville,FL,32607,2341,ALACHUA,Convenience Store,29.65354,-82.38308,,,-9170842.51558152,3459092.9282666347
1574323,R&j Fuel Stop,660 S Main St,,Bell,FL,32619,5216,GILCHRIST,Convenience Store,29.749149,-82.859955,,,-9223927.997753562,3471345.8681121203
